Avg_Latency
2.057
2.324
5.289
2.947
2.247
2.344
5.067
5.470
5.158
5.111
4.798
3.717
3.691
3.898
5.484
5.013
3.900
2.431
5.477
2.792
2.278
4.425
3.740
3.277
2.311
4.384
4.886
2.171
4.570
5.125
2.752
3.878
2.137
3.078
3.228
3.319
5.416
3.541
3.871
4.512
3.163
4.711
2.217
5.283
3.293
4.525
3.348
3.936
4.219
2.082
3.645
3.711
2.872
3.241
3.154
2.738
3.167
5.333
3.568
2.296
2.425
3.154
4.718
2.022
4.423
4.120
2.532
2.317
4.747
3.368
2.781
5.289
4.287
2.683
2.552
3.331
3.206
3.442
4.691
3.038
5.475
4.175
5.089
3.627
4.163
4.170
2.850
5.246
2.538
3.128
3.293
4.203
3.269
5.129
4.081
5.373
5.397
2.154
2.258
3.460
