TxnFee(MATIC),TxnFee(USD)
0.000388924,0.000324168
0.001727026,0.001439476
0.000764467,0.000637183
0.000401377,0.000334547
0.000816928,0.000680909
0.000637949,0.00053173
0.001222025,0.001018558
0.000401377,0.000334547
0.000423245,0.000352774
0.000401377,0.000334547
0.001578308,0.001315519
0.000790356,0.000658762
0.000508337,0.000423698
0.000857815,0.000714989
0.001727026,0.001439476
0.000401377,0.000334547
0.000443839,0.000369939
0.000635282,0.000529507
0.000401377,0.000334547
0.000401611,0.000334743
0.000635387,0.000529595
0.000816928,0.000680909
0.000745189,0.000621115
0.00047796,0.00039838
0.001578308,0.001315519
0.000423245,0.000352774
0.000388924,0.000324168
0.000401377,0.000334547
0.000790356,0.000658762
0.001727082,0.001439523
0.001137318,0.000947955
0.000401377,0.000334547
0.000401377,0.000334547
0.000423245,0.000352774
0.000816928,0.000680909
0.00168552,0.001404881
0.000401377,0.000334547
0.000635387,0.000529595
0.000443839,0.000369939
0.001727026,0.001439476
0.000635282,0.000529507
0.001105531,0.00092146
0.000388924,0.000324168
0.000401377,0.000334547
0.000790356,0.000658762
0.00168552,0.001404881
0.000423245,0.000352774
0.000401377,0.000334547
0.000816928,0.000680909
0.000745189,0.000621115
0.000401377,0.000334547
0.000508337,0.000423698
0.001767948,0.001473585
0.00047796,0.00039838
0.000401377,0.000334547
0.000635387,0.000529595
0.000401377,0.000334547
0.000790356,0.000658762
0.000423245,0.000352774
0.001578308,0.001315519
0.000401377,0.000334547
0.000443839,0.000369939
0.000635282,0.000529507
0.000371305,0.000309482
0.00085028,0.000708708
0.000648375,0.000540421
0.001385955,0.001155193
0.0008442,0.000703641
0.00079688,0.000664199
0.000401377,0.000334547
0.000370395,0.000308724
0.000768079,0.000640193
0.000400393,0.000333728
0.000382421,0.000318747
0.000657125,0.000547714
0.000406515,0.00033883
0.000910889,0.000759226
0.000401377,0.000334547
0.000774375,0.000645442
0.000370395,0.000308724
0.000400393,0.000333728
0.001385955,0.001155193
0.00085028,0.000708708
0.0008442,0.000703641
0.000788319,0.000657064
0.000765468,0.000638017
0.000401377,0.000334547
0.000648375,0.000540421
0.000370395,0.000308724
0.000382421,0.000318747
0.001278743,0.001065832
0.000657125,0.000547714
0.00079688,0.000664199
0.00085028,0.000708708
0.000768079,0.000640193
0.0008442,0.000703641
0.000401377,0.000334547
0.000370395,0.000308724
0.001385955,0.001155193
0.000648375,0.000540421
0.000406515,0.00033883
0.000401377,0.000334547
0.000382421,0.000318747
0.000657125,0.000547714
0.00085028,0.000708708
0.000768079,0.000640193
0.0008442,0.000703641
0.000400393,0.000333728
0.000370395,0.000308724
0.001385955,0.001155193
0.0010829,0.000902597
0.000759563,0.000633096
